ano,uf,ugrhi,municipio,codigo_ibge,populacao_urbana,atendimento_coleta_porc,atendimento_tratamento_porc,eficiencia,carga_poluidora_potencial,carga_poluidora_remancescente,ictem
2022,SP,1,Campos do Jordão,3509700,52384,52.6,100,93,2829,1445,5.970000000000001
2022,SP,1,Santo Antônio do Pinhal,3548203,4067,46.7,100,80,220,138,4.63
2022,SP,1,São Bento do Sapucaí,3548609,5251,98,100,91.3,284,30,9.97
2022,SP,2,Aparecida,3502507,35684,70,0,0,1927,1927,1.55
2022,SP,2,Arapeí,3503158,1844,95.6,95.6,99,100,9,9.860000000000001
2022,SP,2,Areias,3503505,2619,100,0,0,141,141,1.5
2022,SP,2,Bananal,3504909,8808,88.1,100,75,476,161,7.609999999999999
2022,SP,2,Caçapava,3508504,81929,100,99.5,58.3,4424,1858,7.26
2022,SP,2,Cachoeira Paulista,3508603,27623,100,100,87.2,1492,191,9.7
2022,SP,2,Canas,3509957,4890,84.6,100,89,264,65,8.16
2022,SP,2,Cruzeiro,3513405,80783,74.3,6.2,67.6,4362,4226,1.41
2022,SP,2,Cunha,3513603,11893,90,16,34.7,642,610,1.91
2022,SP,2,Guararema,3518305,26217,60.4,100,70.4,1416,814,5.67
2022,SP,2,Guaratinguetá,3518404,117355,98.2,47.2,50.4,6337,4856,3.9
2022,SP,2,Igaratá,3520202,7640,30.7,100,80.1,413,311,3.7600000000000002
2022,SP,2,Jacareí,3524402,233844,98.2,99.1,77.5,12628,3108,8.360000000000001
2022,SP,2,Jambeiro,3524907,3269,100,100,96,177,7,9.7
2022,SP,2,Lagoinha,3526308,3165,83.5,100,97,171,32,9.450000000000001
2022,SP,2,Lavrinhas,3526605,6757,73.2,88.3,38.8,365,273,4.55
2022,SP,2,Lorena,3527207,86968,99.6,100,65.7,4696,1623,7.74
2022,SP,2,Monteiro Lobato,3531704,2045,84.4,100,73.4,110,42,7.3
2022,SP,2,Natividade da Serra,3532306,2765,96,50,12,149,141,2.86
2022,SP,2,Paraibuna,3535606,5518,68,40,97,298,219,3.8299999999999996
2022,SP,2,Pindamonhangaba,3538006,165703,100,100,70.2,8948,2666,7.76
2022,SP,2,Piquete,3538501,12639,84.3,0,0,683,683,1.26
